"date","state","value"
2005-01-01,"MI",493796.3
2006-01-01,"MI",483763.6
2007-01-01,"MI",482935.1
2008-01-01,"MI",455256.7
2009-01-01,"MI",416297.1
2010-01-01,"MI",441271.5
2011-01-01,"MI",453989.1
2012-01-01,"MI",463302.6
2013-01-01,"MI",472779.9
2014-01-01,"MI",479534.9
2015-01-01,"MI",490618.7
2016-01-01,"MI",500159.6
2017-01-01,"MI",505101.5
2018-01-01,"MI",516843
2019-01-01,"MI",521085
2020-01-01,"MI",501893.9
2021-01-01,"MI",530380.9
2022-01-01,"MI",543720.9
2023-01-01,"MI",554256.2
2024-01-01,"MI",566033.3
2005-01-01,"MN",301761.2
2006-01-01,"MN",302272.7
2007-01-01,"MN",304208
2008-01-01,"MN",309290.4
2009-01-01,"MN",296875.2
2010-01-01,"MN",308091.9
2011-01-01,"MN",315213.3
2012-01-01,"MN",321053.8
2013-01-01,"MN",329774.5
2014-01-01,"MN",338623.9
2015-01-01,"MN",345456.3
2016-01-01,"MN",350603.6
2017-01-01,"MN",354721.9
2018-01-01,"MN",364799.7
2019-01-01,"MN",369617.4
2020-01-01,"MN",357475.6
2021-01-01,"MN",377947
2022-01-01,"MN",384727.7
2023-01-01,"MN",390907.9
2024-01-01,"MN",395307.1
2005-01-01,"MS",103691.8
2006-01-01,"MS",105879.9
2007-01-01,"MS",107713.9
2008-01-01,"MS",109434
2009-01-01,"MS",105360
2010-01-01,"MS",106711.8
2011-01-01,"MS",106491.1
2012-01-01,"MS",108646.5
2013-01-01,"MS",109032.7
2014-01-01,"MS",109299.6
2015-01-01,"MS",109401.7
2016-01-01,"MS",109911
2017-01-01,"MS",110281.4
2018-01-01,"MS",110174.8
2019-01-01,"MS",111207.8
2020-01-01,"MS",110322.8
2021-01-01,"MS",115675
2022-01-01,"MS",116557.1
2023-01-01,"MS",119548.4
2024-01-01,"MS",122438.1
2005-01-01,"MO",285341.7
2006-01-01,"MO",286558.3
2007-01-01,"MO",288320.9
2008-01-01,"MO",297881.8
2009-01-01,"MO",289566.8
