"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes"
2019,"DE",976.668,3.6,33.2,74627.8,"Delaware",1,2018,2018,2018,1,1,0,""
2019,"FL",21492.056,3.2,30.7,1084913.9,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations"
2019,"GA",10628.02,3.6,32.5,620744.9,"Georgia",0,NA,NA,NA,0,0,0,""
2019,"HI",1415.615,2.5,33.6,88855.2,"Hawaii",0,NA,NA,NA,0,0,0,""
2019,"IA",3159.596,2.7,29.3,188471.4,"Iowa",1,2019,2019,2019,1,1,0,""
2019,"ID",1789.06,2.9,28.7,81144.3,"Idaho",0,NA,NA,NA,0,0,0,""
2019,"IL",12667.017,4,35.8,858018.3,"Illinois",1,2019,2020,2020,1,1,0,""
2019,"IN",6731.01,3.3,26.9,370507.2,"Indiana",1,2019,2019,2019,1,1,0,""
2019,"KS",2912.635,3.2,34,169562.3,"Kansas",1,2022,2022,2022,1,1,0,""
2019,"KY",4472.345,4.1,25.1,211783.1,"Kentucky",1,2023,2023,2023,1,1,0,""
2019,"LA",4658.285,4.6,25,246674.5,"Louisiana",1,2021,2021,2022,1,1,0,""
2019,"MA",6894.883,3.1,45,566326.8,"Massachusetts",1,2022,2023,2023,1,1,0,""
2019,"MD",6054.954,3.4,40.9,402506.3,"Maryland",1,2021,2021,2021,1,1,0,""
2019,"ME",1345.77,2.9,33.2,66758.4,"Maine",1,2022,2023,2023,1,1,0,""
2019,"MI",9984.795,4.1,30,521085,"Michigan",1,2019,2020,2021,1,1,0,""
2019,"MN",5640.053,3.3,37.3,369617.4,"Minnesota",0,NA,NA,NA,0,0,0,""
2019,"MO",6140.475,3.2,30.2,321329.1,"Missouri",0,NA,NA,NA,0,0,0,""
2019,"MS",2978.227,5.5,22.3,111207.8,"Mississippi",1,2017,2017,NA,0,1,0,""
2019,"MT",1070.123,3.5,33.6,50263.5,"Montana",1,2019,2019,NA,0,1,0,""
